"id","SehirIlceMahalleAdi","UstID","minlongitude","minlatitude","maxlongitude","maxlatitude","MahalleID"
29512,KIZAKYOKUŞU (YUKARIILIPINAR),1554,33.192421,41.355852,33.195102,41.357827,
29513,KIZILÇALAR (GÖKCEÇAT),1554,33.197089,41.186696,33.225655,41.223206,
29514,KOÇÇUAZ (KIZILSARAY),1554,33.319131,41.325041,33.355949,41.375842,
29515,KÖSELER (YENİCE),1554,33.279169,41.221050,33.295517,41.230027,
29516,KÖYYERİ (YUKARIILIPINAR),1554,33.196018,41.363222,33.200259,41.366375,
29517,KÜÇÜK BELEN (BELEN),1554,33.063975,41.144483,33.079126,41.170438,
29518,KÜREKÇİ (ESKİİĞDİR),1554,33.029776,41.179632,33.047793,41.218591,
29519,KUZLAN (PELİTÖREN),1554,33.307580,41.325041,33.355949,41.341549,
29520,MEMİŞOĞLU (SARPUN),1554,33.234308,41.206943,33.264027,41.229169,
29521,MERKEZ (AKGEÇİT),1554,32.920753,41.193411,32.971315,41.233147,
29522,MERKEZ (AKINCILAR),1554,33.284846,41.230027,33.311797,41.266592,
29523,MERKEZ (AKSU),1554,33.150882,41.271974,33.222481,41.348122,
29524,MERKEZ (ALINÖREN),1554,33.430483,41.225101,33.466436,41.242310,
29525,MERKEZ (AŞAĞIİKİZÖREN),1554,33.378332,41.310534,33.387988,41.315675,
29526,MERKEZ (AŞAĞIOBA),1554,33.228750,41.188344,33.258963,41.217920,
29527,MERKEZ (AŞAĞIYAZI),1554,33.345936,41.223784,33.374546,41.243566,
29528,MERKEZ (AVLACIK),1554,33.219034,41.346855,33.320113,41.375842,
29529,MERKEZ (AVLAĞIÇAYIRI),1554,33.475539,41.265514,33.506510,41.286580,
29530,MERKEZ (BALÇIKHİSAR),1554,33.076830,41.202229,33.105669,41.221923,
29531,MERKEZ (BAŞKÖY),1554,33.362166,41.184918,33.407801,41.237839,
29532,MERKEZ (BELEN),1554,33.050108,41.141235,33.070621,41.169171,
29533,MERKEZ (ÇALKÖY),1554,33.264244,41.245915,33.307427,41.269967,
29534,MERKEZ (ÇAVUŞ),1554,33.266576,41.078083,33.272313,41.081511,
29535,MERKEZ (CELEPLER),1554,33.085480,41.143503,33.113494,41.163861,
29536,MERKEZ (CEVİZLİK),1554,33.254617,41.230027,33.285823,41.269967,
29537,MERKEZ (ÇUBUKLUDERE),1554,33.124981,41.258582,33.162403,41.312426,
29538,MERKEZ (ÇUKURPELİT),1554,33.426009,41.276014,33.453479,41.284530,
29539,MERKEZ (DAMLA),1554,33.045931,41.183370,33.088675,41.212109,
29540,MERKEZ (DEĞİRMENÇAY),1554,33.176608,41.220890,33.208580,41.245418,
29541,MERKEZ (DOĞANCA),1554,33.398593,41.276014,33.438603,41.332271,
29542,MERKEZ (DORUK),1554,33.385413,41.062123,33.436825,41.087422,
29543,MERKEZ (EKİNÖZÜ),1554,33.225510,41.186971,33.244672,41.192719,
29544,MERKEZ (FINDIKLI),1554,33.271028,41.127095,33.319192,41.196229,
29545,MERKEZ (GERGEN),1554,33.103925,41.176709,33.138015,41.202895,
29546,MERKEZ (GÖKCEÇAT),1554,33.204203,41.204941,33.233728,41.226635,
29547,MERKEZ (GÖLCÜK),1554,33.264684,41.174827,33.284007,41.192254,
29548,MERKEZ (GÜLÜKLER),1554,32.990968,41.181977,33.022844,41.221386,
29549,MERKEZ (GÜZELCE),1554,32.924942,41.228253,32.990577,41.306671,
29550,MERKEZ (HALİLOBA),1554,33.253920,41.188747,33.272309,41.207202,
29551,MERKEZ (HANÖZÜ),1554,33.147984,41.124754,33.171265,41.190015,
29552,MERKEZ (İĞDİR),1554,33.125753,41.212432,33.160772,41.231735,
29553,MERKEZ (İHSANLI),1554,32.967665,41.221386,33.011274,41.269376,
29554,MERKEZ (KARAÇALAR),1554,32.956904,41.182827,32.996146,41.228253,
29555,MERKEZ (KARACIK),1554,33.312349,41.000500,33.358013,41.037704,
29556,MERKEZ (KARAKAYA),1554,33.048233,41.278873,33.138068,41.349812,
29557,MERKEZ (KAYABOĞAZI),1554,33.020987,41.215931,33.052317,41.243495,
29558,MERKEZ (KIYIDİBİ),1554,33.134873,41.157837,33.137555,41.159933,
29559,MERKEZ (KIZILÖREN),1554,32.989511,41.250708,33.028699,41.303577,
29560,MERKEZ (KIZILSARAY),1554,33.346133,41.325041,33.381388,41.355716,
29561,MERKEZ (KÖKLÜYURT),1554,33.184977,41.241933,33.240252,41.333127,
29562,MERKEZ (KOVANLI),1554,33.343849,41.038125,33.356166,41.049130,
29563,MERKEZ (MÜSLİMLER),1554,33.039849,41.210631,33.076719,41.241343,
29564,MERKEZ (ÖMERSİN),1554,33.506812,41.304443,33.559356,41.342058,
29565,MERKEZ (ÖZBEL),1554,33.329697,41.217089,33.354455,41.243634,
29566,MERKEZ (PELİTÖREN),1554,33.304640,41.284108,33.344446,41.328380,
